year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass
1900,55299999.958,2039732.048,367573.731,121287.669,0.0,3321500.0,440.0604835,68060.0,136756.72623985683,347695.6048741191,38400000.0,,10000.0,564.8324476406667,5269292.333032713,345985.74429226475,289712.8478952546
1901,61000000.041,2189132.834,394496.7793,130171.4207,0.0,4305000.0,497.459677,79540.0,148020.10082181753,381862.7319131438,43400000.0,,10000.0,598.4646165468084,5953253.886241273,390903.388076049,313658.1196394244
1902,70000000.048,2936999.203,529267.4379,174641.4621,0.0,4865000.0,501.2862899,108240.0,178415.4827530602,452000.0,49000000.0,,30000.0,655.8769354659765,6725444.08216627,441591.6229083737,376713.5300328402
1903,67000000.04800001,3474364.376,626104.3345,206594.5655,0.0,4620000.0,575.90524145,98810.0,191490.62755356065,747000.0,44100000.0,,40000.0,681.7746825281073,6118583.143296912,401493.86119498755,402859.87224719673
1904,70100000.015,3526641.383,635525.0103,209703.0897,0.0,4200000.0,702.18346715,102090.0,200000.0,5280000.0,49800000.0,,60000.0,727.2095507711947,7765979.387287412,506351.1659773196,421225.12602457503
1905,81199999.942,4478109.445,806986.0931,266279.8069,0.0,5880000.0,937.5201605,109060.0,216000.0,16400000.0,56200000.0,,100000.0,793.4370235740098,10779979.227059381,696077.2416217233,500704.70029027597
1906,95200000.003,5927535.9,1068182.7,352466.4,0.0,6860000.0,1226.42943445,132430.0,232000.0,24400000.0,63500000.0,,170000.0,919.9430314498808,13313516.65216152,856567.6590738541,615883.3634004113
1907,90000000.08999999,6032355.279,1087071.872,358699.2276,0.0,6965000.0,1417.76007945,132020.0,224000.0,32100000.0,69800000.0,,180000.0,947.9080699628644,15653659.186622327,1004574.6450786397,623087.1909757728
1908,81900000.0,6009334.821,1082923.428,357330.3724,0.0,4129999.9999999995,926.0403218,121360.0,200000.0,30000000.0,63500000.0,,190000.0,887.6212825527892,14394726.024133017,923421.9895668774,591041.0018449975
1909,108999999.932,7517805.103,1354760.138,447027.8621,0.0,6860000.0,2525.5645139999997,187780.0,256000.0,49000000.0,74400000.0,,220000.0,988.0657619013783,19539770.228750594,1247280.43138852,732063.7526538284
1910,125000000.07599999,8619072.0,1553216.0,512512.0,0.0,7559999.999999999,3080.4233845,209510.0,256000.0,56900000.0,84400000.0,,250000.0,1035.9700298056462,22419777.33563895,1430612.2850433663,821331.3431992503
1911,122000000.122,8734506.0,1574018.0,519376.0,0.0,6650000.0,3692.6814485,204590.0,248000.0,53700000.0,84400000.0,,220000.0,977.1787540965623,21801943.4087981,1392409.810475924,816146.5614273476
1912,123999999.984,9037686.103,1628653.138,537403.8621,0.0,8645000.0,5605.9878985,240670.0,264000.0,53800000.0,87100000.0,,220000.0,1009.0961634112318,22187027.71101188,1417638.9013391049,852471.892741355
1913,140999999.894,10281586.97,1852812.621,611369.3793,0.0,8680000.0,6122.58064,241080.0,256000.0,65100000.0,94300000.0,,220000.0,1011.5121846628697,25344159.077168647,1616635.425743245,944025.7969072212
1914,130000000.06799999,9933958.138,1790167.517,590698.4828,0.0,6055000.0,6447.8427365,179990.0,240000.0,65500000.0,82500000.0,,230000.0,966.4109439451904,23822807.390023757,1516367.731475736,896875.0293064904
1915,130999999.94999999,9608885.379,1731587.172,571368.8276,0.0,7559999.999999999,8590.7459605,276750.0,264000.0,61800000.0,87100000.0,,230000.0,933.1354829300035,23731612.528114013,1513145.0877577094,881743.770690126
1916,131999999.868,10248416.28,1846835.034,609396.9655,0.0,9660000.0,10561.451604,347270.0,296000.0,71800000.0,79300000.0,,250000.0,1000.0,24605654.461491685,1563092.6150191154,939756.6989681666
1917,114000000.12900001,10375128.31,1869669.414,616931.5862,0.0,9835000.0,10408.387088,335380.0,272000.0,60400000.0,72600000.0,,250000.0,3000.0,21496952.26512114,1367353.2380130664,925766.4535586222
1918,93300000.078,7909882.655,1425415.207,470341.7931,0.0,9345000.0,8877.741928,371050.0,232000.0,47500000.0,60600000.0,,260000.0,4000.0,17380633.727543946,1106526.1189332977,745136.228655516
1919,97600000.015,9003852.0,1622556.0,535392.0,0.0,7559999.999999999,11919.8991835,234520.0,240000.0,56900000.0,57300000.0,,290000.0,6000.0,18748460.119638953,1189369.4547682216,806805.9837102839
1920,115000000.08,11108200.55,2001774.069,660521.931,0.0,9905000.0,14579.395149,263220.0,264000.0,65900000.0,69000000.0,,260000.0,7000.0,22071151.670878857,1400966.7231319263,969065.0695386657
1921,103999999.99,11124785.9,2004762.862,661508.1379,0.0,4515000.0,7366.2298325,162770.0,184000.0,68100000.0,55400000.0,,250000.0,9000.0,20653480.23958195,1306164.411786638,910934.0899585262
1922,124999999.93499999,13000920.1,2342855.138,773067.8621,0.0,8750000.0,9796.129024,252149.99999999997,264000.0,78300000.0,70000000.0,,300000.0,10000.0,24600731.097387176,1557903.261537411,1083715.198541321
1923,173000000.097,15783277.55,2844255.069,938513.931,0.0,11200000.0,14368.9314395,350140.0,296000.0,117000000.0,83700000.0,,380000.0,10000.0,33928639.70211876,2141871.14589348,1333376.4472814705
1924,193999999.843,17189051.38,3097585.172,1022104.828,0.0,9345000.0,15268.185470999999,364490.0,296000.0,133000000.0,90300000.0,,380000.0,10000.0,37911930.87232304,2391636.385144563,1433048.7042410653
1925,213999999.915,18786551.79,3385465.724,1117096.276,0.0,11235000.0,14713.326600499999,378840.0,336000.0,146000000.0,101000000.0,,450000.0,40000.0,41871441.87211401,2642084.7972609224,1565006.3469292414
1926,231999999.98400003,19110961.14,3443926.517,1136386.483,0.0,11830000.0,17965.9475655,426400.0,328000.0,156000000.0,109000000.0,,490000.0,60000.0,44885956.573491685,2832683.125937357,1608459.739808476
1927,255000000.21899998,19597243.45,3531557.931,1165302.069,0.0,10955000.0,18138.145146,403850.0,320000.0,169000000.0,120000000.0,,580000.0,60000.0,48886109.461282656,3085802.1228907113,1656486.4542010264
1928,249000000.19799998,20055662.38,3614168.172,1192560.828,0.0,12530000.0,20089.717725,451000.0,320000.0,180000000.0,103000000.0,,590000.0,70000.0,48706873.2647981,3065789.9884532867,1682823.8341099906
1929,282000000.226,19373009.59,3491149.448,1151968.552,0.0,13650000.0,22385.685465,496099.99999999994,312000.0,191000000.0,124000000.0,,730000.0,120000.0,53675609.54831354,3384051.9333684635,1693234.061425542
1930,254999999.826,18062767.34,3255034.793,1074058.207,0.0,9940000.0,20663.70966,376380.0,248000.0,173000000.0,112000000.0,,580000.0,100000.0,48574618.18983373,3062339.6204468342,1544693.2027324608
1931,193000000.04999998,14425932.93,2599652.241,857802.7586,0.0,6545000.0,16377.903212,275930.0,200000.0,134000000.0,83100000.0,,460000.0,90000.0,37129598.66246081,2339480.6223590267,1218761.420976825
1932,149000000.09600002,9108007.966,1641325.621,541585.3793,0.0,3640000.0,9317.802411499999,168920.0,144000.0,105000000.0,59600000.0,,490000.0,50000.0,28346864.140465558,1784074.8843603712,816335.0505263037
1933,142999999.884,7204673.793,1298331.724,428408.2759,0.0,5740000.0,8208.0846705,225500.0,160000.0,93100000.0,62700000.0,,540000.0,50000.0,26469260.401026126,1669605.4753783036,711710.176683971
1934,167999999.94,8542779.414,1539467.552,507975.4483,0.0,6405000.0,7327.9637035,166870.0,176000.0,100000000.0,82800000.0,,570000.0,60000.0,30524471.301776726,1930908.7452429628,827583.2256867256
1935,164999999.857,8455208.793,1523686.724,502768.2759,0.0,8189999.999999999,11862.49999,305860.0,216000.0,106000000.0,74300000.0,,640000.0,70000.0,30531389.754603326,1926871.8146754135,841458.8944885611
1936,249000000.06,12690442.45,2286904.931,754606.069,0.0,11585000.0,21620.362885,408770.0,272000.0,154000000.0,118000000.0,,800000.0,80000.0,45719067.00921615,2888924.124442532,1225403.8362910962
1937,258999999.852,12916003.14,2327552.517,768018.4828,0.0,12810000.0,28890.927395,410000.0,296000.0,163000000.0,119000000.0,,870000.0,90000.0,47592197.888456054,3005270.5336201102,1266723.1433363515
1938,250000000.197,12081428.59,2177156.448,718392.5517,0.0,8154999.999999999,25255.64514,262810.0,240000.0,159000000.0,112000000.0,,890000.0,100000.0,45871594.75990499,2895203.794214276,1167962.5156909004
1939,303999999.87,13962206.69,2516085.586,830228.4138,0.0,12880000.0,31186.895135,390730.0,304000.0,197000000.0,132000000.0,,1130000.0,100000.0,55917831.84114014,3526897.1688355966,1381187.4478350368
1940,318999999.949,14457776.79,2605390.724,859696.2759,0.0,14490000.0,42092.7419,512499.99999999994,352000.0,207000000.0,138000000.0,,1240000.0,150000.0,58661400.62251781,3699691.5985987363,1446291.2488307592
1941,380000000.148,18826356.62,3392638.828,1119463.172,0.0,19740000.0,62182.459624999996,807700.0,440000.0,249000000.0,165000000.0,,1520000.0,530000.0,70428240.83230403,4441451.712625891,1829625.541680617
1942,401999999.96800005,20595681.21,3711483.276,1224671.724,0.0,19075000.0,110397.782165,721600.0,440000.0,262000000.0,177000000.0,,1700000.0,720000.0,74563866.68009502,4703472.659035892,1958456.4905369717
1943,325000000.23999995,14081621.17,2537604.897,837329.1034,0.0,18970000.0,168562.29824499998,717500.0,472000.0,197000000.0,155000000.0,,1470000.0,750000.0,59033709.92114014,3731642.0063384864,1494399.0587681325
1944,281000000.15999997,10280923.55,1852693.069,611329.931,0.0,19005000.0,123599.59667,713400.0,472000.0,161000000.0,141000000.0,,1430000.0,750000.0,50186456.804180525,3177236.8750617024,1214591.7229218509
1945,279000000.198,11528804.9,2077569.862,685532.1379,0.0,18165000.0,147707.25793999998,676500.0,432000.0,163000000.0,139000000.0,,1300000.0,730000.0,50301657.08845606,3183309.522753058,1279195.7445348306
1946,352999999.99799997,12931925.07,2330421.759,768965.2414,0.0,15644999.999999998,91456.04831,701100.0,432000.0,216000000.0,162000000.0,,1290000.0,790000.0,63650409.581757724,4020782.8452792047,1473249.7045907502
1947,394000000.1,21649845.72,3901450.966,1287355.034,0.0,19775000.0,122260.282155,660100.0,488000.0,245000000.0,188000000.0,,1540000.0,860000.0,72771826.50375298,4598443.456919478,2071014.8191699698
1948,437000000.047,23787364.97,4286646.621,1414457.379,0.0,22470000.0,144071.97568499998,660100.0,528000.0,275000000.0,204000000.0,,1590000.0,1020000.0,80731586.927886,5099022.847295605,2303716.917528954
1949,437999999.64000005,24058701.21,4335543.276,1430591.724,0.0,19705000.0,127617.540215,545300.0,456000.0,277000000.0,203000000.0,,1630000.0,660000.0,80982260.17216152,5113997.444443609,2280310.5599312587
1950,501000000.075,27127653.41,4888589.552,1613079.448,0.0,25165000.0,166648.991795,549400.0,544000.0,321000000.0,228000000.0,,2040000.0,1030000.0,92864300.66622327,5861830.206162119,2604339.609780887
1951,554999999.893,28324451.9,5104260.862,1684244.138,0.0,27860000.0,167605.64502,635500.0,600000.0,347000000.0,258000000.0,,2200000.0,1040000.0,101948390.12180522,6439283.795722005,2762906.302941531
1952,599999999.523,29412450.52,5300325.69,1748939.31,0.0,22785000.0,195157.2579,664200.0,584000.0,380000000.0,272000000.0,,2310000.0,1120000.0,110216423.93235154,6957874.107091813,2858501.6580988024
1953,605000000.1,30548214.93,5504998.241,1816474.759,0.0,27545000.0,260209.6772,639600.0,696000.0,383000000.0,277000000.0,,2640000.0,1180000.0,111473008.03876483,7038198.674282027,2960386.315325805
1954,813000000.0,32438944.24,5845720.655,1928902.345,0.0,21420000.0,188843.346615,541200.0,624000.0,490000000.0,380000000.0,,2640000.0,1280000.0,146085544.84750596,9232494.711665547,3281715.5810800646
1955,880999999.9499999,35551681.76,6406657.345,2113993.655,0.0,28560000.0,279342.7417,668300.0,752000.0,519000000.0,425000000.0,,3430000.0,1450000.0,157780948.0095012,9979292.36298212,3614168.598542812
1956,941999999.46,36637026.72,6602243.966,2178531.034,0.0,28140000.0,332915.3223,672400.0,752000.0,549000000.0,458000000.0,,3500000.0,1520000.0,168043748.7536342,10631204.894121252,3771058.6997878975
1957,976000000.6199999,34257361.45,6173411.931,2037030.069,0.0,26495000.0,279342.7417,594500.0,736000.0,556000000.0,481000000.0,,3510000.0,1580000.0,172511138.5485986,10919517.644740423,3634340.6365260724
1958,1029999999.5999999,36183915.1,6520590.138,2151587.862,0.0,20510000.0,241076.6127,537100.0,648000.0,607000000.0,484000000.0,,3900000.0,1760000.0,182764285.6376247,11555075.43152897,3768659.7795950403
1959,1099999999.8,39737822.79,7161028.724,2362912.276,0.0,25130000.0,369268.14485,635500.0,896000.0,645000000.0,527000000.0,,4640000.0,2010000.0,195926400.79885986,12391513.64365318,4126459.19008696
1960,1119999999.72,36836714.28,6638229.034,2190404.966,0.0,24990000.0,304215.72555,594500.0,936000.0,628000000.0,557000000.0,,4510000.0,1790000.0,196708346.8625178,12455621.481213067,3971599.603986471
1961,1099999999.45,37699152.21,6793646.276,2241687.724,0.0,23485000.0,329088.7094,623200.0,936000.0,666000000.0,502000000.0,,4990000.0,1930000.0,196594111.94375294,12419668.646585831,3997515.4032340497
1962,1139999999.74,39130135.76,7051519.345,2326777.655,0.0,25340000.0,392227.82224999997,672400.0,1000000.0,687000000.0,521000000.0,,5520000.0,2120000.0,203222633.3286461,12839509.425610969,4150629.814864589
1963,1269999999.48,42224961.1,7609228.138,2510803.862,0.0,27405000.0,436233.87059999997,701100.0,1056000.0,726000000.0,622000000.0,,6150000.0,2360000.0,224435253.272019,14204198.979523053,4517504.041294545
1964,1339999999.16,43884159.0,7908227.0,2609464.0,0.0,30554999.999999996,428580.6448,729800.0,1088000.0,766000000.0,656000000.0,,6820000.0,2600000.0,236764257.9975297,14984396.19314209,4742813.822691947
1965,1419999999.61,44839474.86,8080381.483,2666269.517,0.0,34895000.0,545292.33825,811800.0,1232000.0,800000000.0,706000000.0,,6810000.0,2870000.0,250102391.4702138,15835394.95825353,4927683.719334642
1966,1479999999.15,45437210.69,8188097.586,2701812.414,0.0,34335000.0,656264.11235,910200.0,1320000.0,824000000.0,736000000.0,,7180000.0,3010000.0,258800334.72152022,16388972.001208764,5056559.386481446
1967,1429999999.86,44753231.07,8064839.759,2661141.241,0.0,32444999.999999996,612258.064,754400.0,1312000.0,798000000.0,712000000.0,,7040000.0,3200000.0,250529083.02593827,15864930.108388763,4946362.326230571
1968,1460000000.16,47248330.34,8514473.793,2809506.207,0.0,37100000.0,665830.6446,783100.0,1352000.0,806000000.0,743000000.0,,8190000.0,3890000.0,256273329.60304037,16236396.727963438,5172429.7706019515
1969,1520000000.36,47169384.1,8500247.138,2804811.862,0.0,32374999.999999996,709836.6929499999,844600.0,1480000.0,823000000.0,782000000.0,,7770000.0,4440000.0,264839017.7793824,16786523.40291222,5238794.72248594
1970,1530000000.05,44764509.1,8066872.138,2661811.862,0.0,30764999.999999996,646697.5801,746200.0,1440000.0,830000000.0,788000000.0,,7980000.0,4330000.0,267003367.2543468,16923503.012768384,5112445.063923628
1971,1509999999.1499999,48324387.52,8708386.69,2873491.31,0.0,32374999.999999996,721316.53165,774900.0,1432000.0,811000000.0,793000000.0,,9320000.0,5530000.0,264012343.1137292,16741185.567307437,5316969.493962466
1972,1540000000.68,50928950.07,9177746.759,3028365.241,0.0,33705000.0,843768.14445,877400.0,1488000.0,803000000.0,834000000.0,,10400000.0,6700000.0,268022149.65662706,17010659.308611374,5549325.893267364
1973,1730000001.18,54360789.62,9796187.828,3232431.172,0.0,38500000.0,1004485.88625,910200.0,1552000.0,866000000.0,961000000.0,,9770000.0,7210000.0,297390821.0113064,18893318.1076521,6030096.6402447
1974,1650000000.8400002,49652541.93,8947729.241,2952466.759,0.0,37450000.0,929866.9347,881500.0,1592000.0,803000000.0,945000000.0,,7950000.0,6330000.0,283059648.21662706,17998775.698299233,5653244.425310713
1975,1419999999.24,42198424.55,7604446.069,2509225.931,0.0,28805000.0,865112.9935,470400.0,1225000.0000000002,691000000.0,815000000.0,,7880000.0,5450000.0,243823975.97719714,15504435.659074608,4835032.24604076
1976,1499999998.92,44786401.76,8070817.345,2663113.655,0.0,31184999.999999996,1100563.98924,614400.0,1116000.0,775000000.0,816000000.0,,9180000.0,6810000.0,260177589.5167696,16516152.565926602,5149153.166220689
1977,1589999999.76,48712484.59,8778324.448,2896568.552,0.0,35350000.0,1170883.5327,662400.0,1288000.0000000002,814000000.0,865000000.0,,9780000.0,7780000.0,274345615.54014254,17417940.748093028,5504701.482076772
1978,1729999999.6000001,52600752.83,9479017.103,3127774.897,0.0,36750000.0,1261313.8668,782100.0,1140000.0,873000000.0,952000000.0,,10200000.0,8200000.0,297523076.0862708,18896768.47565856,5952611.412610574
1979,1750000000.0,52385806.76,9440282.345,3114993.655,0.0,25480000.0,1184269.66227,777600.0,1170000.0,857000000.0,995000000.0,,9740000.0,7710000.0,300259243.7320665,19088539.929457188,5963895.733141605
1980,1500000000.4,46553736.1,8389303.138,2768203.862,0.0,30274999.999999996,998997.8214199999,697600.0,1056000.0,692000000.0,893000000.0,,7800000.0,6540000.0,254583939.95933494,16210725.989995431,5274324.738842875
1981,1329999999.42,43846344.41,7901412.552,2607215.448,0.0,33319999.999999996,955025.97483,726400.0,1050000.0,625000000.0,791000000.0,,7950000.0,6240000.0,227829800.1961045,14502862.83416158,4894259.289170578
1982,1179999999.44,39520886.48,7121935.31,2350012.69,0.0,27580000.0,923178.0816,598400.0,1048000.0,538000000.0,717000000.0,,8130000.0,5560000.0,201007441.27011877,12805488.79706735,4373964.57327005
1983,1300000000.9,43677837.31,7871046.414,2597195.586,0.0,26390000.0,1099960.23904,743700.0,1096000.0,593000000.0,782000000.0,,10100000.0,7190000.0,220432204.28769594,14040720.543377334,4790043.947743422
1984,1480000000.53,50542843.24,9108167.655,3005406.345,0.0,31114999.999999996,1060877.8617,784400.0,1314000.0,701000000.0,868000000.0,,10300000.0,7550000.0,252934773.87857482,16095621.713300176,5491692.723666651
1985,1539999999.0,52300889.79,9424979.724,3109944.276,0.0,30379999.999999996,1092053.74172,856000.0,1296000.0,725000000.0,908000000.0,,10700000.0,7580000.0,262987446.72988123,16738218.250821885,5663597.769630649
1986,1630000000.98,54955208.38,9903306.172,3267776.828,0.0,28350000.0,1092626.45926,877400.0,1330000.0,800000000.0,929000000.0,,11400000.0,7830000.0,280312861.55021375,17820529.6870859,5922446.325743704
1987,1799999999.1799998,55862095.03,10066733.38,3321702.621,0.0,29784999.999999996,1121828.15606,946000.0,1152000.0,812000000.0,1090000000.0,,12100000.0,7980000.0,304440885.335867,19397002.829234038,6210884.769432817
1988,1870000000.5600002,55627909.97,10024531.62,3307777.379,0.0,24465000.0,991638.73127,906100.0,1404000.0,837000000.0,1130000000.0,,11600000.0,8030000.0,314686631.2893112,20051537.64005807,6280147.610907906
1989,1810000000.0,54674584.34,9852735.793,3251090.207,0.0,30064999.999999996,906907.2572999999,893800.0,1256000.0,813000000.0,1100000000.0,,10000000.0,7800000.0,305988688.03800476,19497960.59710284,6166292.680403366
1990,1840000000.8000002,53712634.34,9679385.793,3193890.207,0.0,30344999.999999996,919752.8539,868000.0,1256000.0,831000000.0,1110000000.0,,9540000.0,7550000.0,310818733.47648454,19801869.01111117,6158293.190275098
1991,1619999999.28,47633110.34,8583813.793,2832386.207,0.0,27335000.0,795416.6682,877800.0,1106000.0,708000000.0,1000000000.0,,8550000.0,7360000.0,272168716.3135392,17354246.954693913,5501772.428594293
1992,1789999998.86,50531565.21,9106135.276,3004735.724,0.0,29469999.999999996,916590.9081,947100.0,1304000.0,834000000.0,1050000000.0,,8870000.0,7810000.0,303269575.18289787,19303566.8636193,5904631.73362253
1993,1890000000.24,52874742.72,9528391.966,3144067.034,0.0,24640000.0,1069167.9270199998,1029099.9999999999,1548000.0,869000000.0,1120000000.0,,8960000.0,8260000.0,319510240.95771974,20344542.891166016,6157421.182175006
1994,2020000000.77,57369371.17,10338354.9,3411329.103,0.0,33915000.0,1111395.34944,1098800.0,1400000.0,891000000.0,1230000000.0,,9300000.0,8850000.0,338659874.8047506,21586399.344048396,6640168.11041405
1995,2069999998.7,57055576.45,10281806.93,3392670.069,0.0,35000000.0,864266.6667599999,1041399.9999999999,1496000.0,907000000.0,1270000000.0,,9330000.0,8180000.0,347167962.83895487,22133489.695151497,6704857.166378485
1996,2150000001.0,59942753.28,10802096.03,3564348.966,0.0,37800000.0,986459.9096700001,1160300.0,1552000.0,914000000.0,1350000000.0,,9130000.0,8760000.0,359357311.35391927,22929213.564799573,6988900.814579869
1997,2269999999.04,63699665.59,11479117.45,3787744.552,0.0,39900000.0,931547.62024,1234800.0,1592000.0,952000000.0,1430000000.0,,8710000.0,8930000.0,377531926.0351544,24095023.906819735,7370180.147737253
1998,2480000001.65,68634800.79,12368462.72,4081200.276,0.0,41650000.0,994541.60656,1272600.0,2030000.0,1070000000.0,1530000000.0,,9280000.0,9500000.0,413861848.0874109,26393935.102158893,7925502.435212652
1999,2529999999.04,72220552.34,13014639.79,4294418.207,0.0,40600000.0,1068931.7868400002,1345900.0,2167000.0,1110000000.0,1550000000.0,,9540000.0,9980000.0,424294231.37292165,27049505.023384865,8214230.737517928
2000,2559999999.7799997,73287321.72,13206878.97,4357851.034,0.0,42000000.0,1015657.37351,1297800.0,2156000.0,1120000000.0,1570000000.0,,9600000.0,9990000.0,428934421.5942993,27346926.74554107,8299153.000404087
2001,2620000001.16,74833075.86,13485434.48,4449765.517,0.0,36750000.0,918138.0436800001,1154600.0,2457000.0,1130000000.0,1620000000.0,,8830000.0,9360000.0,437638800.61567694,27911406.951396693,8399777.434162972
2002,2540000001.6,72988785.52,13153080.69,4340099.31,0.0,39900000.0,944145.56925,1243200.0,2148000.0,1130000000.0,1540000000.0,,9390000.0,9460000.0,426800963.815677,27199250.9948649,8211100.684014354
2003,2589999998.98,75688879.66,13639656.21,4500653.793,0.0,36400000.0,908985.3156800001,1166400.0,2509000.0,1160000000.0,1560000000.0,,9330000.0,9530000.0,435302616.07980996,27735438.18306762,8437128.855456952
2004,2760000001.2000003,80923214.48,14582919.31,4811900.69,0.0,42700000.0,1159463.7087,1045499.9999999999,1608000.0,1240000000.0,1660000000.0,,10400000.0,10300000.0,464295760.25083137,29580694.992918406,9009640.952394532
2005,2870000000.4,85082818.97,15332508.62,5059241.379,0.0,37450000.0,1146070.5635499998,992199.9999999999,1616000.0,1290000000.0,1730000000.0,,10500000.0,10400000.0,483432522.55771965,30800745.12,9378605.705212308
2006,2999999999.57,84691404.83,15261973.1,5035966.897,0.0,44100000.0,1031272.17655,902000.0,1696000.0,1340000000.0,1810000000.0,,9750000.0,10100000.0,503924014.4646081,30466736.1,9486102.401658406
2007,2799999999.7200003,77320877.59,13933753.45,4597696.552,0.0,37450000.0,966219.75725,930700.0,1632000.0,1250000000.0,1690000000.0,,8440000.0,9120000.0,470290680.07220906,27425027.26,8802677.170964288
2008,2440000001.08,64191918.62,11567824.83,3817015.172,0.0,34720000.0,753842.7413,820000.0,1600000.0,1060000000.0,1500000000.0,,6660000.0,7530000.0,407866928.2660333,24743058.52,7540262.630494445
2009,1950000000.21,47460622.76,8552730.345,2822129.655,0.0,20510000.0,635217.7413999999,647800.0,1288000.0,842000000.0,1200000000.0,,5630000.0,6220000.0,325135104.0,21602713.93,5834548.901390709
2010,1919999999.28,47221793.79,8509691.724,2807928.276,0.0,29120000.0,662004.0316999999,721600.0,1480000.0,809000000.0,1200000000.0,,5800000.0,6090000.0,326405163.0,22960357.52,5832644.315793456
2011,1920000001.0800002,47898475.86,8631634.483,2848165.517,0.0,32024999.999999996,675397.1768499999,709300.0,1552000.0,809000000.0,1200000000.0,,5830000.0,5980000.0,332029710.0,21988514.97,5906971.801416455
2012,1940000001.3,51666666.21,9310688.276,3072231.724,0.0,34335000.0,790195.5638499999,721600.0,1528000.0,818000000.0,1220000000.0,,5850000.0,6010000.0,326858755.5,21054774.19,6158914.613836865
2013,1980000000.48,54234077.59,9773353.448,3224896.552,0.0,34125000.0,864814.5153999999,721600.0,1544000.0,827000000.0,1250000000.0,,6010000.0,6080000.0,318149779.5,19356193.99,6400953.350531753
2014,2030000000.82,59189778.62,10666404.83,3519575.172,0.0,38500000.0,971959.6766,729800.0,1568000.0,833000000.0,1310000000.0,,5330000.0,7610000.0,319329120.0,19242548.45,6839289.495729274
2015,2179999999.52,61133581.03,11016691.38,3635158.621,0.0,33775000.0,998745.9669,746200.0,1464000.0,883000000.0,1400000000.0,,5620124.416796267,8024230.171073094,331031806.5,20348654.38,7104584.09964004
2016,2209999999.3599997,63123822.41,11375346.55,3753503.448,0.0,32584999.999999996,973872.9830499999,770800.0,1384000.0,888000000.0,1420000000.0,,6051166.407465007,8639657.853810264,340103656.5,19712305.34,7218928.7305120705
2017,2199999999.12,64457284.14,11615645.52,3832794.483,0.0,35000000.0,1086758.0636,766700.0,1408000.0,895000000.0,1430000000.0,,6208662.519440124,8864525.66096423,344185989.0,19727480.07,7342806.714947306
2018,2279999999.76,65346258.62,11775844.83,3885655.172,0.0,35700000.0,937520.1605,738000.0,1440000.0,915000000.0,1440000000.0,,6399315.7076205285,9136734.05909798,353167120.5,19457138.94,7512048.353495782
2019,2400000001.07,67668206.9,12194275.86,4023724.138,0.0,34440000.0,952826.6120999999,958782.5101214574,1352000.0,923000000.0,1510000000.0,,6490497.66718507,9266920.68429238,382741351.5,19028452.79,7775434.897
2020,2370000000.42,69658448.28,12552931.03,4142068.966,0.0,29015000.0,751929.43485,807754.7773279352,1272000.0,950147058.831553,1554411764.4145207,,6631415.241057543,9468118.195956454,369950043.0,19252939.84,8004124.158744061
